CURVE 0
-189.947616579 46.6942671652 -13.8200382319
-190.395200890 46.3952008900 -13.8104365497
-190.395204751 46.3951983100 -13.8104364846
-190.395208612 46.3951957300 -13.8104364194
-190.808679058 46.1189236110 -13.8052014519
-191.222152759 45.8426493162 -13.8034565024
-191.635638413 45.5663670351 -13.8052014687
-192.049096780 45.2901029870 -13.8104362490
-192.496672415 44.9910425087 -13.8200375426
-192.944178785 44.6920283116 -13.8337284917
-193.472167043 44.3392378366 -13.8551455261
-194.0 43.9865511306 -13.8822568226
-194.000006441 43.9865468268 -13.8822571883
-194.000012882 43.9865425230 -13.8822575539
-194.690001416 43.5255069241 -13.9263041716
-195.379496870 43.0648007908 -13.9800780813
-195.896214685 42.7195409850 -14.0267850221
-196.412584445 42.3745137424 -14.0789570542
-196.928547100 42.0297585182 -14.1365883371
-197.444057817 41.6853052696 -14.1996736042
-197.944418829 41.3509747303 -14.2661808276
-198.444297670 41.0169663671 -14.3378285215
-198.658596252 40.8737766324 -14.3701409579
-198.872791540 40.7306559165 -14.4033974154
-199.419919986 40.3650763766 -14.4927103994
-199.966295395 40.0000000000 -14.5881799927
-200.246597884 39.8127078651 -14.6396017062
-200.526687430 39.6255580135 -14.6926444312
-200.892971513 39.3808148139 -14.7645208213
-201.258871551 39.1363282249 -14.8391705714
-201.694984083 38.8449271471 -14.9318767629
-202.130515717 38.5539142136 -15.0285253194
-202.565447937 38.2633017949 -15.1291125228
-202.999762231 37.9731022614 -15.2336346547
-203.347203395 37.7409494976 -15.3201960823
-203.694193019 37.5090984432 -15.4092692991
-203.847142510 37.4069008607 -15.4493672531
-203.999999999 37.3047647519 -15.4899530354
-204.351718488 37.0697539710 -15.5852877314
-204.702934810 36.8350787278 -15.6832061689
-205.139393930 36.5434460676 -15.8086950888
-205.575040822 36.2523561202 -15.9381770005
-206.009856539 35.9618215467 -16.0716462223
-206.443822132 35.6718550077 -16.2090970727
-206.897590112 35.3686569371 -16.3573807306
-207.350382190 35.0661109431 -16.5100228220
-207.898133350 34.7001153190 -16.7009668353
-208.444297668 34.3351799890 -16.8982693728
-208.724508389 34.1479491711 -17.0021942056
-209.004278080 33.9610130400 -17.1077921349
-209.789437771 33.4363861071 -17.4140245144
-210.570946295 32.914198806 -17.7334526799
-211.348688424 32.3945281301 -18.0660302141
-212.122548927 31.8774510729 -18.4117106992
CURVE 2
-212.122549685 31.8774515197 -18.4117107842
-211.773947745 32.2260539194 -18.2231020629
-211.424364444 32.5756376725 -18.0381617764
-211.073819081 32.9261834775 -17.8569001360
-210.722331013 33.2776719795 -17.6793271498
-210.369919645 33.6300837718 -17.505452622
-210.016604435 33.9833993964 -17.3352861529
-209.662404892 34.3375993457 -17.1688371380
-209.307340572 34.6926640630 -17.0061147675
-208.725823241 35.2741820231 -16.7484721883
-208.142138558 35.8578673105 -16.5008254254
-207.796760959 36.2032452544 -16.3594083815
-207.450676409 36.5493301409 -16.2214912839
-207.103902642 36.8961042366 -16.0870811995
-206.756457425 37.2435497727 -15.9561850154
-206.272716085 37.7272915428 -15.7801917598
-205.787761181 38.2122468591 -15.6110099245
-205.301640669 38.6983677682 -15.4486562385
-204.814402615 39.1856062012 -15.2931467557
-204.407564198 39.5924449217 -15.1687985037
-204.000011147 39.9999982647 -15.0492221138
-203.415332759 40.5846770498 -14.8863483731
-202.829329217 41.1706809662 -14.7332954026
-202.242082994 41.7579275378 -14.5900847433
-201.653676744 42.3463341136 -14.4567365512
-201.362501594 42.6375094158 -14.3944868725
-201.071073390 42.9289377660 -14.3346523848
-200.717610349 43.2824009760 -14.2653873158
-200.363808285 43.6362031999 -14.1996750778
-199.836815607 44.1631961011 -14.1084878242
-199.309170841 44.6908410696 -14.0251829302
-198.780932937 45.2190791579 -13.9497697024
-198.252160908 45.7478513523 -13.8822565658
-197.928565825 46.0714465263 -13.8448665981
-197.604806609 46.3952058264 -13.8104353693
-197.154845344 46.8451671962 -13.7675209546
-196.704629765 47.2953828662 -13.7303214364
-196.254196163 47.7458165450 -13.6988398133
-195.803580847 48.1964319238 -13.6730786231
-195.352820140 48.6471926789 -13.6530399424
-194.901950379 49.0980624752 -13.6387253863
-194.451007907 49.5490049686 -13.6301361089
-194.000029073 49.9999838091 -13.6272728024
-194.000020978 49.9999919046 -13.6272728024
-194.000012882 50.0 -13.6272728024
-193.549030724 50.4509821512 -13.6301359454
-193.098084913 50.9019279418 -13.6387251436
-192.647211798 51.3528010211 -13.6530397047
-192.196447726 51.8035650441 -13.6730784747
-191.745829033 52.2541836749 -13.6988398384
-191.295392042 52.7046205891 -13.7303217190
-190.845173063 53.1548394770 -13.7675215789
-190.395208389 53.6048040464 -13.8104364194
-190.071452113 53.9285602385 -13.8448674076
-189.747859960 54.2521523000 -13.8822570794
-189.219090442 54.7809216528 -13.9497699184
-188.690855025 55.3091568856 -14.0251827688
-188.163212722 55.8367989854 -14.1084872056
-187.636222480 56.3637890056 -14.1996739223
-187.282410607 56.7176007182 -14.2653879364
-186.928937766 57.0710733897 -14.3346549752
-186.637512086 57.3624989237 -14.3944890125
-186.346339450 57.6536714082 -14.4567381965
-185.757934771 58.2420757611 -14.5900860722
-185.170690090 58.8293200925 -14.7332963516
-184.584688057 59.4153217521 -14.8863488791
-184.000011147 59.9999982647 -15.0492221138
-183.592452230 60.4075568900 -15.1688001733
-183.185607955 60.8144008614 -15.2931502254
-182.698370290 61.3016381471 -15.4486596220
-182.212250146 61.7877578945 -15.6110132005
-181.727295592 62.2727120352 -15.7801949072
-181.243554582 62.7564526157 -15.9561880130
-180.896107836 63.1038990427 -16.0870847472
-180.549332535 63.4506740155 -16.2214954063
-180.203246449 63.7967597651 -16.3594131032
-179.857867311 64.1421385580 -16.5008307709
-179.274182986 64.7258222785 -16.7484773573
-178.692665983 65.3073386522 -17.0061197278
-178.337600970 65.6624032683 -17.1688423630
-177.983400727 66.0166031049 -17.3352916490
-177.630084811 66.3699186056 -17.5054583955
-177.277672730 66.7223302626 -17.6793332073
-176.926183941 67.0738186180 -17.8569064839
-176.575637851 67.4243642649 -18.0381684209
-176.226053816 67.7739478485 -18.2231090104
-175.877451137 68.1225500673 -18.4117180411
CURVE 3
-212.122548927 31.8774510729 -18.4117106992
-212.122535957 31.8774704844 -18.4117018416
-212.122522986 31.8774898959 -18.4116929840
-211.605452312 32.6513408466 -18.0660173695
-211.085788089 33.4290733171 -17.7334443799
-210.563607308 34.2105720830 -17.4140204307
-210.038986960 34.9957219197 -17.1077919376
-209.852050829 35.2754916110 -17.0021939909
-209.664820011 35.5557023319 -16.8982691407
-209.299884683 36.1018666464 -16.7009665708
-208.933889057 36.6496178098 -16.5100225227
-208.631343063 37.1024098882 -16.3573804035
-208.328144992 37.5561778676 -16.2090967181
-208.038178453 37.9901434617 -16.0716458411
-207.747643879 38.4249591791 -15.9381765929
-207.456553932 38.8606060714 -15.8086946550
-207.164921272 39.2970651904 -15.6832057091
-206.930246029 39.6482815119 -15.5852872505
-206.695235248 40.0000000007 -15.4899525335
-206.593099139 40.1528574897 -15.4493667420
-206.490901557 40.3058069805 -15.4092687789
-206.259050503 40.6527966032 -15.3201955417
-206.026897739 41.0002377687 -15.2336340931
-205.736699137 41.4345506689 -15.1291122642
-205.446087652 41.8694814912 -15.0285253387
-205.155075656 42.3050117221 -14.9318770349
-204.863675518 42.7411228481 -14.8391710709
-204.619187059 43.1070256837 -14.7645206956
-204.374441986 43.4733125699 -14.6926437228
-204.187292135 43.7534021164 -14.6396009812
-204.000000000 44.0337046047 -14.5881792512
-203.634923623 44.5800800141 -14.4927096256
-203.269344084 45.1272084598 -14.4033966093
-203.126223368 45.3414037474 -14.3701401392
-202.983033633 45.5557023302 -14.3378276901
-202.649026253 46.0555796990 -14.2661801700
-202.314696700 46.5559392356 -14.1996730902
-201.970242966 47.0714506793 -14.1365876761
-201.625487255 47.5874140624 -14.0789562616
-201.280459524 48.1037845526 -14.0267841131
-200.935199229 48.6205030994 -13.9800770714
-200.474488785 49.3100050055 -13.9263026627
-200.013448869 50.0 -13.8822557282
-199.660762399 50.5278326039 -13.8551444165
-199.307972160 51.0558205091 -13.8337273591
-199.008958320 51.5033263441 -13.8200363907
-198.709898200 51.9509014439 -13.8104350680
-198.433633123 52.3643613494 -13.8052002349
-198.157349814 52.7778485428 -13.8034552416
-197.881075954 53.1913215933 -13.8052001717
-197.604804270 53.6047913877 -13.8104351086
-197.305736804 54.0523774805 -13.8200367393
-197.006727213 54.4998769570 -13.8337276067
-196.653928866 55.0278769970 -13.8551452977
-196.301250428 55.5556975788 -13.8822561341
-195.840217968 56.2456814153 -13.9263023786
-195.379500387 56.9351940023 -13.9800776391
-195.034242232 57.4519093471 -14.0267844453
-194.689228251 57.9682592588 -14.0789544420
-194.344478462 58.4842137796 -14.1365846368
-194.000012882 58.9997429517 -14.1996720377
-194.000011458 58.9997450837 -14.1996723100
-194.000010033 58.9997472157 -14.1996725823
-193.665667629 59.5001259840 -14.2661822770
-193.331662490 60.0000000000 -14.3378294580
-193.188473823 60.2142969839 -14.3701417158
-193.045352039 60.4284938704 -14.4033984840
-192.679788770 60.9755979660 -14.4927075223
-192.314696123 61.5219977254 -14.5881813995
-192.127403396 61.8023010994 -14.6396033651
-191.940254137 62.0823897603 -14.6926460120
-191.695509972 62.4486752880 -14.7645228055
-191.451024444 62.8145737381 -14.8391723512
-191.159612819 63.2507020550 -14.9318821073
-190.868592240 63.6862451304 -15.0285335399
-190.577975654 64.1211835882 -15.1291226064
-190.287798384 64.5554645616 -15.2336370131
-190.055644615 64.9029072306 -15.3201989317
-189.823794566 65.2498953496 -15.4092718788
-189.721597278 65.4028443997 -15.4493697657
-189.619460874 65.5557023302 -15.4899557136
-189.384451653 65.9074184855 -15.5852898813
-189.149774851 66.2586371399 -15.6832090736
-188.858149409 66.6950854570 -15.8086949767
-188.567061849 67.1307287756 -15.9381758454
-188.276524861 67.5655481071 -16.0716461963
-187.986551131 67.9995244628 -16.2091005459
-187.945444153 68.0610454029 -16.2289307119
-187.904348811 68.1225489275 -16.2488409958
CURVE 4
-212.122548927 32.3795558926 -18.2764070226
-211.816777548 33.1177533032 -18.0023815383
-211.509817152 33.8588212551 -17.7380132086
-211.201701405 34.6026784708 -17.4833265682
-210.892463973 35.3492436726 -17.2383461518
-210.564760199 36.1403905668 -16.9902339334
-210.235883003 36.9343703544 -16.7529996430
-210.087025182 37.2937449254 -16.6494633669
-209.937939895 37.6536686460 -16.5481530041
-209.895333858 37.7565287194 -16.5196370952
-209.852709661 37.8594326335 -16.4913029077
-209.631743949 38.3928910531 -16.3475163635
-209.410305539 38.9274906647 -16.2086110171
-209.188406213 39.4632030278 -16.0745954536
-208.966057750 39.9999997023 -15.9454782582
-208.648585767 40.7664448693 -15.7700349405
-208.330300311 41.5348539345 -15.6045927215
-208.213722962 41.8162965508 -15.5465999847
-208.097051525 42.0979663171 -15.4899522727
-207.970435349 42.4036448053 -15.4300475735
-207.843712727 42.7095802784 -15.3717261785
-207.714673257 43.0211091165 -15.3140136891
-207.585528140 43.3328930096 -15.2579421890
-207.325778163 43.9599849282 -15.1502636110
-207.065629655 44.5880389830 -15.0492196982
-206.787503460 45.2594950162 -14.9486864122
-206.508978684 45.9319133078 -14.8557365091
-206.230104033 46.6051762709 -14.7703865058
-205.950903220 47.2792266608 -14.6926434326
-205.873365185 47.4664200368 -14.6724176834
-205.795804271 47.6536686473 -14.6527784516
-205.658931426 47.9841089256 -14.6195648644
-205.521997725 48.3146961231 -14.5881789716
-205.173126074 49.1569467955 -14.5165278798
-204.823922003 50.0 -14.4567353878
-204.626241455 50.4772430602 -14.4281650970
-204.428493870 50.9546479605 -14.4033963968
-204.214276537 51.4718143511 -14.3808615050
-204.000000203 51.9891231849 -14.3627865682
-203.747304172 52.5991853697 -14.3472060755
-203.494557017 53.2093709775 -14.3378275964
-203.366680435 53.5180923560 -14.3354459176
-203.238797212 53.8268297691 -14.3346519877
-203.110912101 54.1355717370 -14.3354459411
