CURVE 0
23.9997081757 44.6372337341 12.5731451319
24.1283317992 44.6597644319 12.5922182416
24.3751506805 44.7029991150 12.6288180781
24.5008671185 44.7224784463 12.6477787096
24.7450084686 44.7603073120 12.6846002599
24.8067348434 44.7688770384 12.6940345240
24.8995469410 44.7817625234 12.7082199325
24.9278106689 44.7856864929 12.7125612032
24.9888066169 44.7934700706 12.7220163162
25.1091766357 44.8088302612 12.7406751316
25.1694406418 44.8158195775 12.7501050316
25.2890930176 44.8296966553 12.7688278152
25.3486242261 44.8358851369 12.7782331836
25.4675464630 44.8482475281 12.7970217732
25.5263446911 44.8536275013 12.8064035448
25.6445255280 44.8644409180 12.8252603311
25.7025887299 44.8690048929 12.8346190990
25.8200130463 44.8782348633 12.8535458356
25.8773417484 44.8819767931 12.8628824514
25.9939994812 44.8895912170 12.8818814585
26.0505923556 44.8925027234 12.8911967497
26.1664695740 44.8984642029 12.9102703530
26.2223259670 44.9005408526 12.9195647661
26.2259185260 44.9006744181 12.9201625620
26.3374099731 44.9048194885 12.9365591643
26.3925556351 44.9060538751 12.9447719569
26.5068073273 44.9086112976 12.9617873559
26.5612415305 44.9089985359 12.9699988690
26.6746482849 44.9098052979 12.9871065142
26.7283703905 44.9093369434 12.9953177142
26.8409214020 44.9083557129 13.0125206672
26.8939289638 44.9070247531 13.0207320660
27.0056095123 44.9042205811 13.0380324943
27.0579025943 44.9020226424 13.0462446524
27.1687030792 44.8973655701 13.0636448718
27.2202799518 44.8942927913 13.0718585167
27.3301868439 44.8877449036 13.0893612490
27.3810464399 44.8837920632 13.0975768764
27.4374856859 44.8794055689 13.1066938150
27.4900474548 44.8753204346 13.1153185458
27.5401873434 44.8704802756 13.1236666447
27.6482734680 44.8600463867 13.1416625695
27.6976904123 44.8543166940 13.1500131266
27.8048477173 44.8418922424 13.1681207454
27.8535420656 44.8352648852 13.1764748554
27.9597606659 44.8208084106 13.1946979530
28.0077310093 44.8132790849 13.2030559497
28.1129970551 44.7967567444 13.2213967244
28.1602426478 44.7883213481 13.2297590181
28.2645435333 44.7696990967 13.2482198858
28.3110636900 44.7603525487 13.2565870214
28.4143867493 44.7395935059 13.2751707517
28.4601808437 44.7293309491 13.2835432546
28.5278107206 44.7141749458 13.2959079786
28.5625133514 44.7063980103 13.3016912600
28.6075905429 44.6952137221 13.3093405579
28.7089118958 44.6700744629 13.3265341138
28.7532783587 44.6579604254 13.3342028768
28.8535671234 44.6305770874 13.3515378348
28.8972218587 44.6175307777 13.3592262442
28.9964656830 44.5878715515 13.3767049244
29.0394077608 44.5738871707 13.3844135861
29.1375942230 44.5419120789 13.4020393335
29.1798233585 44.5269875493 13.4097684711
29.2769412994 44.4926643372 13.4275438274
29.3184555466 44.4767943411 13.4352938453
29.4144897461 44.4400825500 13.4532218294
29.4552895366 44.4232631780 13.4609932824
29.5502300262 44.3841247559 13.4790773347
29.5903141380 44.3663546335 13.4868702278
29.6459026757 44.3417110758 13.4976773908
29.6841468811 44.3247566223 13.5050709899
29.7235158604 44.3060309304 13.5128421789
29.8162288666 44.2619323730 13.5311431435
29.8548814585 44.2422488641 13.5389363309
29.9464588165 44.1956138611 13.5574002806
29.9843957260 44.1749695805 13.5652159351
30.0748271942 44.1257591248 13.5838463698
30.1120475062 44.1041513861 13.5916847037
30.2013187408 44.0523262024 13.6104845929
30.2378221905 44.0297537079 13.6183457330
30.3259201050 43.9752769470 13.6373179138
30.3617070702 43.9517386589 13.6452020427
30.4486198425 43.8945732117 13.6643495589
30.4836896728 43.8700661429 13.6722569630
30.5694026947 43.8101692200 13.6915831899
30.6037553860 43.7846928897 13.6995139291
30.6882553101 43.7220268250 13.7190217707
30.7007069432 43.7122364049 13.7219663679
30.7218926249 43.6955786122 13.7266798930
30.8051643372 43.6301040649 13.7452067130
30.8380943468 43.6026766873 13.7527232691
30.9201183319 43.5343589783 13.7714459448
30.9523403617 43.5059533736 13.7789950129
31.0331020355 43.4347572327 13.7979160859
31.0646160610 43.4053713624 13.8054979153
31.1441020966 43.3312530518 13.8246211328
31.1749081914 43.3008873597 13.8322356778
31.2531051636 43.2238082886 13.8515641374
31.2832040406 43.1924613727 13.8592116608
31.2860214742 43.1895271153 13.8599275143
31.3600997925 43.1123771667 13.8782038756
31.3894950906 43.0800468788 13.8856616538
31.4650707245 42.9969253540 13.9048356832
31.4937628355 42.9636115200 13.9123254113
31.5680046082 42.8774108887 13.9317053268
31.5959944500 42.8431137675 13.9392270858
31.6688899994 42.7537918091 13.9588164339
31.6961770092 42.7185119859 13.9663700851
31.7677097321 42.6260261536 13.9861719337
31.7942955691 42.5897655919 13.9937574445
31.8644542694 42.4940757751 14.0137752298
31.8903396460 42.4568357174 14.0213925383
31.9591102600 42.3578987122 14.0416297168
31.9842954837 42.3196817806 14.0492785466
32.0516624451 42.2174568176 14.0697380999
32.0761484677 42.1782690593 14.0774178433
32.1420974731 42.0727233887 14.0981019471
32.1658900049 42.0325916675 14.1058100844
32.1843015900 42.0015361829 14.1117749404
32.2304191589 41.9237480164 14.1265540955
32.2535219657 41.8827044186 14.1342007548
32.3166198730 41.7706069946 14.1550851522
32.3390391469 41.7286794333 14.1627512450
32.3894440430 41.6344143654 14.1799867991
32.4007034302 41.6133575439 14.1833736029
32.4224496594 41.5705684702 14.1901310209
32.4826698303 41.4520759583 14.2088438220
32.5037549362 41.4084370119 14.2156151056
32.5330202555 41.3478678258 14.2250133879
32.5625152588 41.2868232727 14.2340804067
32.5829464251 41.2423590383 14.2405790655
32.6402397156 41.1176719666 14.2588026729
32.6600238906 41.0724069319 14.2653164949
32.7158470154 40.9446868896 14.2836959268
32.7349866797 40.8986495536 14.2902223101
32.7893295288 40.7679367065 14.3087525339
32.8078302348 40.7211563359 14.3152891082
32.8606910706 40.5874938965 14.3339656269
32.8785574442 40.5399965688 14.3405102479
32.9299316406 40.4034194946 14.3593291002
32.9471673969 40.3552340256 14.3658792584
32.9970474243 40.2157859802 14.3848353207
33.0136583102 40.1669389785 14.3913889312
33.0620422363 40.0246582031 14.4104781843
33.0780311374 39.9751779874 14.4170327040
33.1249084473 39.8301086426 14.4362496749
33.1334398114 39.8023131323 14.4398864666
33.1402835770 39.7800158829 14.4423353304
33.1856536865 39.6321983337 14.4585698459
33.2004293915 39.5814847911 14.4640699643
33.2442741394 39.4309997559 14.4803907625
33.2584537026 39.3796903999 14.4858876311
33.3007659912 39.2265815735 14.5022904699
33.3143546552 39.1747001841 14.5077825827
33.3551330566 39.0190086365 14.5242639369
33.3681341902 38.9665797187 14.5297495630
33.4073715210 38.8083496094 14.5463051444
33.4197904322 38.7553974214 14.5517827439
33.4574851990 38.5946731567 14.5684087454
33.4605039811 38.5810439964 14.5698029381
33.4693228622 38.5412286201 14.5745362809
33.5054664612 38.3780479431 14.5939355726
33.5167227993 38.3241652823 14.6002856331
33.5513229370 38.1585388184 14.6198046781
33.5620011385 38.1042441419 14.6261488225
33.5950469971 37.9362182617 14.6457820632
33.5978892164 37.9208394155 14.6475640728
33.6051554681 37.8815227561 14.6509460624
33.6366424561 37.7111511230 14.6656013027
33.6461966859 37.6560180640 14.6703038432
33.6761093140 37.4834060669 14.6850266780
33.6851122532 37.4278568188 14.6897254890
33.7134437561 37.2530479431 14.7045122577
33.7218993109 37.1971054866 14.7092058755
33.7486457825 37.0201492310 14.7240526501
33.7565578857 36.9638353904 14.7287396986
33.7723418573 36.8514940792 14.7380899610
33.7817153931 36.7847785950 14.7433290474
33.7890888588 36.7281065559 14.7477491374
33.8126525879 36.5469970703 14.7618746257
33.8194919877 36.4899830507 14.7662916265
33.8414573669 36.3068771362 14.7804772423
33.8477655516 36.2495422253 14.7848897969
33.8681259155 36.0644874573 14.7991318052
33.8739075670 36.0068525184 14.8035386668
33.8744291980 36.0016525905 14.8039362618
33.8926620483 35.8198966980 14.8130792355
33.8979268471 35.7619068051 14.8159764139
33.9101853877 35.6268833216 14.8227221949
33.9150619507 35.5731697083 14.8262495166
33.9198117464 35.5148633506 14.8300613929
33.9353294373 35.3243751526 14.8425148796
33.9395634401 35.2657967605 14.8463276754
33.9534568787 35.0735778809 14.8588389667
33.9571792995 35.0147490683 14.8626514561
33.9694480896 34.8208541870 14.8752171046
33.9726622661 34.7617928085 14.8790282705
33.9793041677 34.6397460377 14.8869038148
33.9833030701 34.5662651062 14.8925192457
33.9860105743 34.5070103497 14.8970467982
33.9950180054 34.3098793030 14.9121092374
33.9972218344 34.2504698668 14.9166479070
34.0045928955 34.0517654419 14.9318282182
34.0062979356 33.9922219429 14.9363764376
34.0120315552 33.7919921875 14.9516709512
34.0132409811 33.7323350104 14.9562271685
34.0173301697 33.5306282043 14.9716321889
34.0180480729 33.4708766319 14.9761949376
34.0204887390 33.2677383423 14.9917069803
34.0207192476 33.2079122944 14.9962747452
34.0215072632 33.0033912659 15.0118900832
34.0212536801 32.9435112779 15.0164613010
34.0210584380 32.8974076739 15.0199808344
34.0203819275 32.7376594543 15.0335922232
34.0196496184 32.6777683756 15.0386957128
34.0171165466 32.4706039429 15.0563487845
34.0159093993 32.4107275625 15.0614514726
34.0117073059 32.2022972107 15.0792139869
34.0100300786 32.1424545021 15.0843142524
34.0041542053 31.9328060150 15.1021821425
34.0020116869 31.8730156746 15.1072783879
33.9944572449 31.6621971130 15.1252475636
33.9918542524 31.6024779754 15.1303381797
33.9826164246 31.3905391693 15.1484043999
33.9795569668 31.3309093605 15.1534878384
33.9686279297 31.1178989410 15.1716469671
33.9651185416 31.0583771298 15.1767216313
33.9524993896 30.8443470001 15.1949692453
33.9485424729 30.7849507241 15.2000336386
33.9342193604 30.5699501038 15.2183655575
33.9298214812 30.5106966092 15.2234182043
33.9250291541 30.4461286390 15.2289240256
33.9176919600 30.3472731725 15.2391303988
33.9137954712 30.2947750092 15.2452046596
33.9089663917 30.2357507954 15.2520510779
33.9020011146 30.1506165575 15.2619260863
33.8912239075 30.0188903809 15.2736179488
33.8859674320 29.9600880227 15.2788905611
33.8665046692 29.7423648834 15.2984130724
33.8608237616 29.6837728103 15.3037199348
33.8396377563 29.4652633667 15.3235110002
33.8335371948 29.4069022366 15.3288499092
33.8106193542 29.1876583099 15.3489064666
33.8041056113 29.1295464743 15.3542751976
33.7794532776 28.9096126556 15.3745940448
33.7725313100 28.8517701615 15.3799904212
33.7461357117 28.6311988831 15.4005684692
33.7388113597 28.5736438766 15.4059903584
33.7106666565 28.3524818420 15.4268246195
33.7029466226 28.2952333401 15.4322697170
33.6730499268 28.0735321045 15.4533564666
33.6649386411 28.0166076214 15.4588228586
33.6530868098 27.9334322289 15.4668100950
33.6332778931 27.7944145203 15.4828762175
33.6247899530 27.7378836036 15.4894635181
33.5913543701 27.5151977539 15.5154121265
33.5824994339 27.4591001428 15.5220029363
33.5472755432 27.2359504700 15.5482203991
33.5382990241 27.1817462471 15.5546413080
33.5380603023 27.1803047383 15.5548408923
33.5010375977 26.9567451477 15.5857938702
33.4914757344 26.9016461913 15.5934897828
33.4526062012 26.6776657104 15.6247741178
33.4426970036 26.6231349130 15.6324591976
33.4019317627 26.3988018036 15.6640746867
33.3916771123 26.3448599936 15.6717462907
33.3489761353 26.1202430725 15.7036913081
33.3383767626 26.0669104991 15.7113470358
33.2936935425 25.8420791626 15.7436208857
33.2827512623 25.7893751374 15.7512582758
33.2488237639 25.6259616906 15.7749386727
33.2360420227 25.5643978119 15.7841919749
33.2247607676 25.5123499915 15.7920886995
33.1759796143 25.2872905731 15.8262348413
33.1643646853 25.2359291701 15.8341022701
33.1134643555 25.0108470917 15.8685798570
33.1015189523 24.9601895261 15.8764154364
33.0484542847 24.7351551056 15.9112231706
33.0361805751 24.6852181782 15.9190245803
32.9808998108 24.4603023529 15.9541621144
32.9695532306 24.4159882981 15.9611556601
32.9683027802 24.4111046656 15.9620317339
32.9107627869 24.1863822937 16.0023446349
32.8978671093 24.1380157280 16.0111139563
32.8380012512 23.9134826660 16.0518239501
32.8248126158 23.8659621597 16.0605340116
32.7625694275 23.6416912079 16.1016407660
32.7490946269 23.5950312985 16.1102884023
32.6956412292 23.4099353727 16.1445928462
32.6844253540 23.3710975647 16.1514381057
32.6706692417 23.3253023473 16.1596046756
32.6035308838 23.1017932892 16.1994626010
32.5894921703 23.0568538578 16.2075731567
32.5198326111 22.8338661194 16.2478174242
32.5055199969 22.7897951291 16.2558688321
32.4332962036 22.5674057007 16.2964975542
32.4187168786 22.5242150491 16.3044870454
32.3438758850 22.3025016785 16.3455000184
32.3290380963 22.2602025188 16.3534247275
32.2527428210 22.0427020484 16.3941732426
32.2515296936 22.0392436981 16.3949075846
32.2364473273 21.9978604522 16.4038110811
32.1562156677 21.7777194977 16.4511738280
32.1409235620 21.7373306236 16.4599809041
32.0578880310 21.5180206299 16.5078029799
32.0423976196 21.4786338073 16.5165102098
31.9683148116 21.2902665433 16.5581524892
31.9565029144 21.2602329254 16.5639380865
31.9408171625 21.2218320697 16.5714505327
31.8520221710 21.0044498444 16.6139775087
31.8361246492 20.9669763095 16.6214250157
31.7443981171 20.7507591248 16.6643961154
31.7283004935 20.7142201184 16.6717755526
31.6335926056 20.4992485046 16.7151913343
31.6173056253 20.4636512631 16.7224997497
31.5195579529 20.2500114441 16.7663618155
31.5030939499 20.2153610369 16.7735961933
31.4022541046 20.0031318665 16.8179058020
31.4004763029 19.9995292310 16.8186709889
31.3856292304 19.9694423037 16.8257733166
31.2816352844 19.7587032318 16.8755204358
31.2648935894 19.7260373893 16.8833673828
31.1576633453 19.5168132782 16.9336269320
31.1408196871 19.4851735330 16.9413645095
31.0302906036 19.2775516510 16.9921389515
31.0198192529 19.2586168337 16.9968549554
31.0133579376 19.2469331621 16.9992131552
30.8994770050 19.0410079956 17.0407765184
30.8824030588 19.0112918460 17.0469054043
30.7651786804 18.8072700500 17.0889844197
30.7479773683 18.7784601137 17.0950590494
30.6273536682 18.5764312744 17.1376572131
30.6100389697 18.5485294154 17.1436745598
30.4859561920 18.3485755920 17.1867968296
30.4685433477 18.3215840458 17.1927535757
30.4088561510 18.2290632775 17.2131719215
30.3409461975 18.1237964630 17.2384226375
30.3234686706 18.0977427407 17.2448193538
30.1922798157 17.9021797180 17.2928340353
30.1747676248 17.8770825063 17.2991444834
30.0399131775 17.6838188171 17.3477387453
30.0223849647 17.6596757359 17.3539590634
29.8838062286 17.4687995911 17.4031371422
29.8662803876 17.4456079722 17.4092635516
29.7568029652 17.3007385394 17.4475329565
29.7239112854 17.2572135925 17.4571763486
29.7063856872 17.2349413803 17.4622551961
29.5601902008 17.0491504669 17.5046220572
29.5426343237 17.0277334437 17.5096519037
29.3925971985 16.8446979523 17.5526382892
29.3750291975 16.8241342534 17.5576154856
29.2210903168 16.6439456940 17.6012279619
29.2035289849 16.6242325534 17.6061487847
29.0456275940 16.4469833374 17.6503939922
29.0280919995 16.4281168858 17.6552547325
28.8661632538 16.2538986206 17.7001402129
28.8486737010 16.2358746194 17.7049369288
28.6826572418 16.0647850037 17.7504688984
28.6652343285 16.0475974322 17.7551977022
28.4950656891 15.8797273636 17.8013836702
28.4777307083 15.8633699621 17.8060405455
28.3033447266 15.6988182068 17.8528876566
28.2861196729 15.6832832897 17.8574685333
28.1074504852 15.5221452713 17.9049842940
28.0903585550 15.5074243286 17.9094849059
27.9795817999 15.4120144918 17.9386544137
27.9557033834 15.3914484821 17.9447372518
27.9340678200 15.3728141975 17.9490856165
27.9073448181 15.3497982025 17.9531711063
27.8903464694 15.3358302418 17.9557569005
27.7029800415 15.1818666458 17.9842591407
27.6859376385 15.1685190924 17.9868389780
27.4943141937 15.0184402466 18.0158464668
27.4772424282 15.0057104096 18.0184183969
27.2813053131 14.8596067429 18.0479371116
27.2642192743 14.8474915274 18.0504991380
27.0639095306 14.7054576874 18.0805352886
27.0468251691 14.6939529677 18.0830853169
26.8420867920 14.5560808182 18.1136447649
26.8250200384 14.5451819458 18.1161807138
26.6157894135 14.4115667343 18.1472702921
26.5987573725 14.4012680864 18.1497899389
26.3849773407 14.2720031738 18.1814156372
26.3679975536 14.2622985611 18.1839167109
26.1496086121 14.1374807358 18.2160847723
26.1326989472 14.1283630994 18.2185649738
25.9096374512 14.0080890656 18.2512822073
25.8928168005 13.9995504029 18.2537391163
25.6650238037 13.8839159012 18.2870117095
25.6483112797 13.8759475770 18.2894428878
25.4157218933 13.7650518417 18.3232777704
25.3991376330 13.7576443051 18.3256806580
25.1616916656 13.6515865326 18.3600841205
25.1452560661 13.6447293017 18.3624561397
25.1237062697 13.6357383349 18.3655662503
24.9028873444 13.5436086655 18.3850897479
24.8864533254 13.5372249707 18.3865674412
24.6392669678 13.4412069321 18.4087936307
24.6228382122 13.4352875146 18.4102949899
24.3707885742 13.3444719315 18.4333288114
24.3543871866 13.3390116692 18.4348511329
24.3042702074 13.3223269925 18.4395028220
24.0974521637 13.2534742355 18.4498883989
24.0809826786 13.2484235016 18.4507324981
23.8194217682 13.1682100296 18.4641380989
23.8028818650 13.1635525321 18.4650021887
23.5369110107 13.0886573792 18.4788972330
23.5203260524 13.0843857232 18.4797794143
23.2501296997 13.0147933960 18.4941516034
23.2335246054 13.0108999334 18.4950499952
22.9592857361 12.9465980530 18.5098872460
22.9426852708 12.9430744631 18.5107999506
22.6645908356 12.8840465546 18.5260897669
22.6480192351 12.8808844592 18.5270149178
22.3662548065 12.8271198273 18.5427451188
22.3497358538 12.8243102177 18.5436808532
22.0644874573 12.7757940292 18.5598390661
22.0480444427 12.7733276593 18.5607835433
21.9943708941 12.7652768956 18.5638665207
21.7594985962 12.7300472260 18.5754888001
21.7431244061 12.7279106244 18.5763032676
21.4514980316 12.6898574829 18.5908090352
21.4352052855 12.6880408231 18.5916235348
21.1406974792 12.6552028656 18.6063464351
21.1245043469 12.6536971156 18.6071599124
20.9573265112 12.6381517583 18.6155582493
20.8273048401 12.6260614395 18.6179340537
20.8111577911 12.6248520884 18.6182304306
20.5115318298 12.6024112701 18.6237300249
20.4953628478 12.6014866424 18.6240281102
20.1935863495 12.5842294693 18.6295915488
20.1774083704 12.5835854773 18.6298910820
20.0829296133 12.5798245892 18.6316403440
19.8736801147 12.5714950562 18.6272515544
19.8573675872 12.5711243411 18.6269342090
19.5520229340 12.5641851425 18.6209940064
19.5355348612 12.5640878866 18.6206979333
19.2288265228 12.5622787476 18.6151904329
19.2121796804 12.5624569595 18.6149161035
18.904296875 12.5657529831 18.6098423884
18.8875087169 12.5662083462 18.6095902565
18.5786476135 12.5745859146 18.6049516449
18.5617355638 12.5753196901 18.6047221265
18.2520866394 12.5887546539 18.6005197900
18.2350685528 12.5897678797 18.6003132887
17.9248256683 12.6082391739 18.5965487321
17.9077194122 12.6095323195 18.5963656012
17.7335416283 12.6226992708 18.5945009423
17.5970726013 12.6330156326 18.5904474891
17.5798500673 12.6345931933 18.5899591200
17.2690391541 12.6630630493 18.5811456406
17.2516656041 12.6649320434 18.5806763362
16.9409351349 12.6983594894 18.5722827063
16.9234286856 12.7005224952 18.5718333369
16.6129703522 12.7388811111 18.5638642469
16.5953494684 12.7413405357 18.5634356807
16.4380822979 12.7632910096 18.5596107086
16.2853546143 12.7846078873 18.5521260880
16.2675713519 12.7873760036 18.5512671878
15.9582986832 12.8355169296 18.5363298618
15.9403079739 12.8386084625 18.5354737584
15.6320114136 12.8915863037 18.5208032013
15.6138305273 12.8950071090 18.5199511050
15.3067045212 12.9527940750 18.5055568173
15.2883511182 12.9565497229 18.5047099474
14.9825859070 13.0191183090 18.4906012100
14.9640784419 13.0232140212 18.4897608142
14.6598672867 13.0905361176 18.4759470482
14.6470169406 13.0935971613 18.4753730978
14.6412247017 13.0949769138 18.4751164805
14.3387584686 13.1670265198 18.4617161275
14.3200019149 13.1718165559 18.4608993497
14.0194683075 13.2485666275 18.4478122346
14.0006178356 13.2537101894 18.4470059012
13.7022085190 13.3351345062 18.4342413727
13.6832845014 13.3406356095 18.4334467775
13.3871879578 13.4267091751 18.4210140637
13.3682113442 13.4325713283 18.4202325096
13.0746173859 13.5232667923 18.4081408079
13.0556094482 13.5294933913 18.4073736107
12.7647056580 13.6247873306 18.3956321692
12.7456882547 13.6313811874 18.3948806509
12.6101166642 13.6783875864 18.3895232139
12.4576644897 13.7312469482 18.3771208788
12.4385538305 13.7382494791 18.3755638255
12.1537027359 13.8426246643 18.3523553978
12.1344385075 13.8500743857 18.3507833837
11.8530302048 13.9588985443 18.3278196912
11.8336373781 13.9668043412 18.3262346379
11.7318960707 14.0082808173 18.3179189141
11.5558576584 14.0800457001 18.3032398118
11.5363574856 14.0884181440 18.3016109791
11.2623958588 14.2060441971 18.2787271988
11.2428126582 14.2148927840 18.2770885190
10.9728527069 14.3368730545 18.2544988551
10.9532142989 14.3462057227 18.2528525207
10.6874399185 14.4725084305 18.2305720219
10.6677747981 14.4823329839 18.2289202804
10.4063673019 14.6129302979 18.2069637611
10.3867047305 14.6232538684 18.2053089267
10.1298446655 14.7581148148 18.1836911600
10.1102145677 14.7689443133 18.1820356016
9.85808086395 14.9080410004 18.1607712101
9.83851413649 14.9193828367 18.1591173783
9.59128856659 15.0626869202 18.1382212167
9.58396550369 15.0671472397 18.1376008274
9.57180603869 15.0745533074 18.1357510182
9.32967567444 15.2220296860 18.0989159296
9.31010065569 15.2345604550 18.0958964876
9.07345294952 15.3860483170 18.0593936351
9.05382605024 15.3992574158 18.0563221489
8.96471293422 15.4592314309 18.0423765070
8.82283020020 15.5547199249 18.0205956054
8.80319901799 15.5686168029 18.0175355899
8.57801723480 15.7280225754 17.9824353224
8.55842760272 15.7426177870 17.9793325168
8.33922481537 15.9059343338 17.9446129451
8.31972042643 15.9212401351 17.9414712365
8.10666275024 16.0884342194 17.9071525433
8.08728840632 16.1044619772 17.9039759986
7.88054084778 16.2754974365 17.8700784448
7.86134240974 16.2922583312 17.8668712579
7.66106891632 16.4671039581 17.8334146547
7.65151177565 16.4757982284 17.8317943586
