CURVE 0
20.8353434998 51.8167683334 11.0838572191
20.6884746552 51.7312126160 11.0706423870
20.5752125777 51.6682840783 11.0600539157
20.5477075771 51.6530022691 11.0574825704
20.4280376434 51.5865135193 11.0388026797
20.3133951622 51.5258670283 11.0205277459
20.1660232544 51.4479064941 10.9970354781
20.0499935122 51.3895746753 10.9781596572
19.9024333954 51.3153915405 10.9541544471
19.7850219197 51.2594153594 10.9346738816
19.6372661591 51.1889724731 10.9101586818
19.5184804100 51.1353885063 10.8900704961
19.3705234528 51.0686454773 10.8650490870
19.2503694679 51.0174926794 10.8443497891
19.1994007414 50.9957939153 10.8355692492
19.1022033691 50.9544143677 10.8185843628
18.9806847157 50.9057237773 10.7969769227
18.8323078156 50.8462715149 10.7705937716
18.7094308929 50.8000816231 10.7483721022
18.5608367920 50.7442245483 10.7214996114
18.4366084187 50.7005698462 10.6986610379
18.2877883911 50.6482734680 10.6713014497
18.1622165199 50.6071839426 10.6478441056
18.0131626129 50.5584106445 10.6200002203
17.8862572039 50.5199222202 10.5959219678
17.7369632721 50.4746437073 10.5675958546
17.6087301793 50.4387878200 10.5428941740
17.5594426319 50.4250062858 10.5333998599
17.4591846466 50.3969726563 10.5086933661
17.3295284090 50.3637490310 10.4764069953
17.1798305511 50.3253898621 10.4391299569
17.0487360157 50.2948306870 10.4061498274
16.8989009857 50.2599029541 10.3684550548
16.7663750127 50.2320404230 10.3347795073
16.6163940430 50.2005081177 10.2966685532
16.4824455549 50.1753769815 10.2622962172
16.3323116302 50.1472091675 10.2237705587
16.2720219493 50.1372458938 10.2081505350
16.1969564150 50.1248408114 10.1895581562
16.0466537476 50.1000022888 10.1523308967
15.8961810177 50.0784637189 10.1146386968
15.7594175339 50.0588874817 10.0803805520
15.6087350124 50.0406169629 10.0422167904
15.4706058502 50.0238685608 10.0072324513
15.3197046255 50.0088366194 9.96859847819
15.1802177429 49.9949417114 9.93288682319
15.0290891266 49.9831218223 9.89378367407
14.8882532120 49.9721069336 9.85734366752
14.7368887746 49.9634735265 9.81777232627
14.5947132111 49.9553642273 9.78060324058
14.4431027935 49.9498946448 9.74056385619
14.4252617387 49.9492510009 9.73585214269
14.2995958328 49.9447174072 9.69687510447
14.1478461821 49.9423877950 9.64946071877
14.0029020309 49.9401626587 9.60417272070
13.8510124324 49.9409474622 9.55637063658
13.7046327591 49.9417037964 9.51030261399
13.5525933763 49.9455723353 9.46211312754
13.4047861099 49.9493331909 9.41526502720
13.2525887804 49.9562635087 9.36668799752
13.1033639908 49.9630584717 9.31905971747
12.9509988635 49.9730256966 9.27009479497
12.8003654480 49.9828796387 9.22168638521
12.6478228925 49.9958579595 9.17233339329
12.4957904816 50.0087928772 9.12314545144
12.3430606074 50.0247593798 9.07340381206
12.1896390915 50.0407981873 9.02343691617
12.0367117568 50.0597309284 8.97330586513
11.8819112778 50.0788955688 8.92256077939
11.7287760999 50.1007754629 8.87203916151
11.5726070404 50.1230888367 8.82051662007
11.4515936156 50.1426629109 8.78034040385
11.4192680950 50.1478916047 8.76806233797
11.2617263794 50.1733741760 8.70822393406
11.1083024162 50.2010568443 8.64943032594
11.0949445558 50.2034670363 8.64431145926
10.9492692947 50.2297515869 8.58568440534
10.7958113543 50.2602803438 8.52338777550
10.7618521455 50.2670361521 8.50960195083
10.6352367401 50.2922248840 8.45518032170
10.4818067296 50.3255571216 8.38873836472
10.3196268082 50.3607902527 8.31850731066
10.1662297898 50.3968960402 8.25158971274
10.0024414063 50.4354476929 8.18013900713
9.84907262487 50.4743011603 8.11274844903
9.68367862701 50.5162010193 8.04007398606
9.53033500580 50.5577732881 7.97221434121
9.36334037781 50.6030464172 7.89831367252
9.21001727067 50.6473111333 7.82998775006
9.04142570496 50.6959838867 7.75485769001
8.88811875053 50.7429153711 7.68606829254
8.71793460846 50.7950134277 7.60970603855
8.56463928143 50.8445884721 7.54045546861
8.39286708832 50.9001388550 7.46285804602
8.23957868444 50.9523331110 7.39314873644
8.06622314453 51.0113601685 7.31431371244
7.91293677220 51.0661464043 7.24414853005
7.7380027771 51.1286697388 7.16407438199
7.63376457792 51.1676742498 7.11605238415
7.58482447686 51.1859869674 7.0825034839
7.40820598602 51.2520751953 6.96142984481
7.25577628813 51.3116433698 6.85594941862
7.07683324814 51.3815727234 6.73212192054
6.92516925591 51.4433378242 6.62619655679
6.74388408661 51.5171661377 6.49958313181
6.59300318070 51.5810687503 6.39324540789
6.40935850143 51.6588478088 6.26381645805
6.25927809490 51.7248369663 6.15709566992
6.11977548221 51.7861751523 6.05789665310
6.07325649261 51.8066291809 6.02465058521
5.92400124616 51.8746401854 5.91705564075
5.73557806015 51.9604988098 5.78122535864
5.58717086635 52.0304758968 5.67332863462
5.39632368088 52.1204643250 5.53457669426
5.24878173428 52.1923487471 5.42641034736
5.05549240112 52.2865219116 5.28470555393
4.90883374908 52.3602564443 5.17630161371
4.89369027546 52.3678700213 5.16510819152
4.71308517456 52.4586715698 4.90550191320
4.56971674183 52.5329622645 4.69737528743
4.36910152435 52.6369171143 4.40614403452
4.22921426378 52.7115395074 4.20109493367
4.22404420432 52.7142974584 4.19351657349
4.02354192734 52.8212547302 3.87622344381
3.88763378779 52.8958102573 3.65888867556
3.67640542984 53.0116844177 3.32110709475
3.54458011245 53.0859778043 3.10812599890
3.32769274712 53.2082099915 2.75771600439
3.20004808422 53.2820435140 2.54940348453
3.19993198720 53.2821106680 2.54921401743
2.97740387917 53.4108276367 1.58533032993
2.86373849898 53.4782485216 1.08769216682
2.63663241516 53.6129570239 0.0933994965824
2.62553858757 53.6195373535 0.0448296332218
2.61540599434 53.6256954772 -8.881784197e-16
CURVE 1
-7.30061931486 43.7126472592 -1.7763568394e-15
-7.25543858637 43.6511653298 0.170651868782
-7.14907646179 43.5064277649 0.572391635516
-6.98106350974 43.2713467784 1.21668923155
-6.95187045043 43.2305003252 1.32863904079
-6.87160253525 43.1181907654 1.63645117170
-6.77437855953 42.9781865846 2.01525590943
-6.71467270212 42.8922091332 2.21721850959
-6.67755516370 42.8387592457 2.34277326914
-6.60280466080 42.7311172485 2.46798298234
-6.45319189965 42.5091538233 2.72305179888
-6.34268236160 42.3452033997 2.91145509328
-6.19980191482 42.1265723636 3.15960228814
-6.09123659134 41.9604492188 3.34815279374
-5.95495200302 41.7451109819 3.58949952440
-5.84846735001 41.5768585205 3.77807347240
-5.77235134003 41.4525103286 3.91566051670
-5.71861343839 41.3647205074 4.00792853809
-5.61437368393 41.1944274902 4.18690828241
-5.50166258369 41.0037879303 4.38461737705
-5.49069344402 40.9852347270 4.39855644612
-5.38895606995 40.8131561279 4.52783953741
-5.27075006897 40.6058537905 4.68166647129
-5.17221450806 40.4330482483 4.80989535212
-5.05942447403 40.2276245732 4.96041361442
-4.96414899826 40.0541000366 5.08755870463
-4.85671681313 39.8505453992 5.23479863004
-4.76475954056 39.6763114929 5.36082959493
-4.73066634289 39.6089833221 5.40889584018
-4.66265756438 39.4746777429 5.51076920070
-4.57404661179 39.2996864319 5.64350346999
-4.47726483763 39.1000669243 5.79295703897
-4.39200925827 38.9242210388 5.92461148241
-4.3004818223 38.7266034448 6.07061209870
-4.21965776408 38.5520955963 6.19953914867
-4.21864795685 38.5499153137 6.20084075975
-4.13218973183 38.3540185379 6.3163709791
-4.05396318436 38.1767730713 6.42090157971
-4.01257795975 38.0793720013 6.47781185976
-3.97487401962 37.9906349182 6.52965987585
-3.93471409705 37.8936056096 6.58599853275
-3.89795398712 37.8047904968 6.63756773629
-3.85901466883 37.7081292603 6.69333796502
-3.82826768462 37.6318043106 6.73737485156
-3.82320308685 37.6192321777 6.74544458880
-3.78549300989 37.5229777176 6.80685375061
-3.75062108040 37.4339675903 6.86364111710
-3.71414389253 37.3381419920 6.92440268112
-3.68020820618 37.2489929199 6.98093076071
-3.64495751240 37.1535940273 7.04104805181
-3.61196422577 37.0643043518 7.09731551222
-3.57793385172 36.9693359118 7.15678882397
-3.54588937759 36.8799095154 7.21279147020
-3.51307300069 36.7853693583 7.27162410881
-3.48198366165 36.6958045959 7.32736054350
-3.45037481408 36.6016925216 7.38555488065
-3.42024683952 36.5119895935 7.44102281584
-3.38983915224 36.4183073459 7.49858021573
-3.36067891121 36.3284683228 7.55377637839
-3.33146611113 36.2352117963 7.61070109851
-3.30328011513 36.1452331543 7.66562496510
-3.27525566702 36.0524040980 7.72191842553
-3.24805021286 35.9622879028 7.77656675086
-3.22120779471 35.8698880288 7.83223031521
-3.19498944283 35.7796363831 7.88659974308
-3.16932258871 35.6876616153 7.94163772178
-3.15707332124 35.6437675126 7.96790408534
-3.14477533878 35.5996988443 7.99490449506
-3.14409780502 35.5972709656 7.99650130645
-3.13806917661 35.5747426256 8.01122651437
-3.11960352473 35.5057384586 8.05294730592
-3.09537506104 35.4151992798 8.10768843773
-3.07204541514 35.3241006214 8.16245701003
-3.04882121086 35.2334136963 8.21697804806
-3.02664969376 35.1427529941 8.27117325297
-3.00443649292 35.0519218445 8.32547034803
-2.98341643251 34.9616974510 8.37909502880
-2.96222090721 34.8707199097 8.43316734142
-2.94234547231 34.7809320929 8.48622338230
-2.92217421532 34.6898078918 8.54006909893
-2.90343676859 34.6004569140 8.59255832975
-2.88429665565 34.5091857910 8.64617554987
-2.86669027894 34.4202719017 8.69809989038
-2.84858798981 34.3288536072 8.75148676492
-2.83210584207 34.2403770595 8.80284811011
-2.81504821777 34.1488113403 8.85600274408
-2.79968353185 34.0607723836 8.90680296901
-2.78367757797 33.9690589905 8.95972341668
-2.76942342390 33.8814578568 9.00996445379
-2.75447607040 33.7895965576 9.06264878271
-2.74132535931 33.7024353290 9.11233163973
-2.72744345665 33.6104278564 9.16477690904
-2.71538929035 33.5237030511 9.21390545987
-2.70257997513 33.4315452576 9.26611173262
-2.69161518093 33.3452589576 9.31468700976
-2.68945483757 33.3282583618 9.32425757492
-2.67988538742 33.2529525757 9.36901420199
-2.67000570958 33.1671305490 9.41970443513
-2.65935993195 33.0746536255 9.47432534068
-2.65055777574 32.9892965012 9.52442510433
-2.64100337029 32.8966445923 9.57880649045
-2.63327101363 32.8117523247 9.62831819198
-2.62481594086 32.7189254761 9.68245757774
-2.61814551067 32.6344962108 9.73138467523
-2.61079764366 32.5414924622 9.78528072023
-2.60518100226 32.4575297700 9.83362374172
-2.59894800186 32.3643531799 9.88727182967
-2.59437753999 32.2808551799 9.93503416656
-2.58926773071 32.1875038147 9.98843280309
-2.58573523808 32.1044704479 10.0356170208
-2.58175635338 32.0109443665 10.0887637876
-2.57925380802 31.9283764516 10.1353719061
-2.57641386986 31.8346767426 10.1882637243
-2.57493332412 31.7525733066 10.2342987355
-2.57324051857 31.6586990356 10.2869335986
-2.57277387559 31.5770591159 10.3323985345
-2.57223629951 31.4830093384 10.3847744692
-2.57277531486 31.4018346204 10.4296709374
-2.57281533813 31.3958071892 10.4330046154
-2.57340097427 31.3076114655 10.4796709656
-2.57493782978 31.2268824749 10.5221212751
-2.57673454285 31.1325035095 10.5717492498
-2.57926160509 31.0522200121 10.6137006388
-2.58223724365 30.9576854706 10.6630987772
-2.58267961367 30.9476219033 10.6683241141
-2.58574656610 30.8778511659 10.7052612441
-2.58990907669 30.7831573486 10.7553928318
-2.59439233773 30.7037783743 10.7971493797
-2.5996442786 30.6107894369 10.8460653179
-2.59974980354 30.6089210510 10.8470407834
-2.60519899610 30.5299945186 10.8879780161
-2.61175942421 30.4349727631 10.9372634414
-2.61816666998 30.3564990320 10.9776968939
-2.62593817711 30.2613162994 11.0267396303
-2.63329534275 30.1832948068 11.0666718162
-2.64228606224 30.0879497528 11.1154703752
-2.65058485504 30.0103808034 11.1549033847
-2.66080284119 29.9148731232 11.2034557409
-2.67003513238 29.8377578527 11.2423911733
-2.68148875237 29.7420883179 11.2906946375
-2.69164614773 29.6654253075 11.3291355371
-2.70434355736 29.5695915222 11.3771891799
-2.71541782234 29.4933827520 11.4151367210
-2.72936749458 29.3973865509 11.4629372533
-2.74135013282 29.3216306005 11.5003945086
-2.75656032562 29.2254695892 11.5479409725
-2.76944299899 29.1501684057 11.5849091623
-2.78592228889 29.0538444519 11.6321982226
-2.79969639884 28.9789974486 11.6686799994
-2.81745314598 28.8825092316 11.7157100935
-2.83211025075 28.8081174876 11.7517071721
-2.8511531353 28.7114658356 11.7984754952
-2.86668453381 28.6375279339 11.8339910024
-2.88702201843 28.5407104492 11.8804965429
-2.90341916424 28.4672274578 11.9155322279
-2.92506003380 28.3702449799 11.9617721465
-2.94231422506 28.2972179488 11.9963298103
-2.96526718140 28.2000713348 12.0423012810
-2.98336946293 28.1274996582 12.0763836835
-3.00764298439 28.0301876068 12.1220851012
-3.02658485710 27.9580715027 12.1556944354
-3.05218815804 27.8605937958 12.2011234124
-3.06310365007 27.8210332221 12.2194178133
-3.07196156462 27.7889298428 12.2334506480
-3.09890222549 27.6912899017 12.2761304277
-3.11950279916 27.6200637423 12.3070216878
-3.14778518677 27.5222778320 12.3494320890
-3.16920449998 27.4514883063 12.3798920428
-3.19883728027 27.3535537720 12.4220321950
-3.22106674268 27.2832029298 12.4520620007
-3.25205850601 27.1851215363 12.4939288086
-3.28443547413 27.0868379699 12.5355436448
-3.30744862556 27.0169792175 12.5651229594
-3.31600222546 26.9920353868 12.5755984290
-3.34119698322 26.9185629564 12.6025157481
-3.36500763893 26.8491268158 12.6279543344
-3.40012780664 26.7506000240 12.6636667970
-3.42473578453 26.6815643311 12.6886897836
-3.46123549832 26.5829267001 12.7240568992
-3.48663306236 26.5142917633 12.7486663685
-3.52451996754 26.4155441180 12.7836855541
-3.55069923401 26.3473110199 12.8078832706
-3.58998130847 26.2484508049 12.8425534193
-3.61693453789 26.1806182861 12.8663421953
-3.65761952715 26.0816474709 12.9006601629
-3.68533873558 26.0142173767 12.9240414373
-3.72743471515 25.9151345511 12.9580055563
-3.75591206551 25.8481063843 12.9809818149
-3.79942688086 25.7489112661 13.0145899594
-3.82865428925 25.6822853088 13.0371633968
-3.87359611743 25.5829787743 13.0704128068
-3.90356564522 25.5167560577 13.0925852274
-3.94994242885 25.4173355535 13.1254748052
-3.98064589500 25.3515148163 13.1472491491
-4.02846576930 25.2519823793 13.1797756071
-4.05989503860 25.1865653992 13.2011533882
-4.10916647704 25.0869184764 13.2333154756
-4.14131355286 25.0219039917 13.2542995812
-4.19204435795 24.9221446468 13.2860940939
-4.22490072250 24.8575344086 13.3066861601
-4.27709946641 24.7576612531 13.3381112775
-4.31065702438 24.6934547424 13.3583138747
-4.36433204433 24.5934687058 13.3893667659
-4.39858245850 24.5296669006 13.4091818379
-4.45374213984 24.4295654294 13.4398612780
-4.45838122256 24.4211466171 13.4424415043
-4.48867702484 24.3661670685 13.4586859197
-4.54532551108 24.2659598719 13.4878368446
-4.58094072342 24.2029590607 13.5061641901
-4.63908560045 24.1026442548 13.5348882383
-4.67537307739 24.0400390625 13.5528145508
-4.69494345754 24.0070924143 13.5620972715
-4.73500634934 23.9396467135 13.5746792055
-4.77197456360 23.8774108887 13.5862892419
-4.83307949483 23.7769790389 13.6044971949
-4.84723473489 23.7537135362 13.6087151514
-4.8707447052 23.7150726318 13.6142178494
-4.93331377667 23.6146256350 13.6280415498
-4.97168445587 23.5530261993 13.6365189775
-5.03572048026 23.4525652699 13.6498629308
-5.07479286194 23.3912677765 13.6580049109
-5.14030194605 23.2907937903 13.6708667994
-5.18007040024 23.2297992706 13.6786748374
-5.24705839007 23.1293131239 13.6910524223
-5.28751707077 23.0686225891 13.6985281020
-5.35598955608 22.9681228047 13.7104200443
-5.39713239670 22.9077358246 13.7175655171
-5.46709589898 22.8072221202 13.7289697596
-5.50891733170 22.7471389771 13.7357867677
-5.58037722206 22.6466110723 13.7467016327
-5.62287092209 22.5868320465 13.7531921688
-5.69583350575 22.4862908664 13.7636152561
-5.73899364471 22.4268169403 13.7697809080
-5.81346466786 22.3262598202 13.7797112346
-5.85728502274 22.2670898438 13.7855544527
-5.93327117662 22.1665189168 13.7949890759
-5.97774600983 22.1076545715 13.8005111779
-6.05525281887 22.0070683804 13.8094487735
-6.10037565231 21.9485092163 13.8146520537
-6.17940927838 21.8479075133 13.8230906715
-6.22517395020 21.7896537781 13.8279770799
-6.30574120865 21.6890363099 13.8359145558
-6.35214185715 21.6310882568 13.8404859417
-6.43424838939 21.5304547820 13.8479204952
-6.48127841949 21.4728126526 13.8521789539
-6.50941224663 21.4389628472 13.8545093008
-6.56487778225 21.3722283222 13.8437535755
-6.61258459091 21.3148288727 13.8345024014
-6.69760586885 21.2143788917 13.8176542817
-6.74605894089 21.1571331024 13.8080526482
-6.83250460674 21.0568198337 13.7905662453
-6.88170289993 20.9997291565 13.7806143157
-7.05888432710 20.7994950260 13.7437228599
-7.15949773788 20.6857910156 13.7227738515
-7.34239444286 20.4860991780 13.6833225437
-7.44596815109 20.3730144501 13.6609814182
-7.63459363244 20.1738631837 13.6189647999
-7.74111509323 20.0613975525 13.5952369794
-7.93548207811 19.8627876182 13.5506494376
-8.02331401183 19.7730383503 13.5305009025
